time	1	2	3	4	5	6	7	8	9	10
0.56	112.593	103.778	82.778	99.9786	68.3538	123.372	56.892	82.0729	101.58	95.6419
0.57	112.713	103.323	84.3235	101.895	72.0002	123.726	56.8243	82.3348	101.886	92.5239
0.58	113.631	104.787	85.5618	103.802	72.31	123.615	55.7116	81.862	101.653	95.1633
0.59	114.366	104.462	87.4787	104.828	73.4946	123.521	58.0861	81.5618	101.497	98.2817
0.6	114.206	104.542	86.5808	105.21	73.4039	124.015	58.5332	82.0329	102.62	94.6737
0.61	114.358	104.416	87.7735	103.672	72.3739	124.081	58.0847	84.8617	104.137	97.867
0.62	114.346	102.729	87.7709	105.49	74.4879	124.136	59.4387	84.8749	104.249	101.455
0.63	114.379	100.759	85.5531	105.486	71.9727	124.148	60.6348	82.4471	103.733	104.696
0.64	114.445	99.9596	85.4537	106.4	71.1277	124.351	60.4548	83.0448	103.29	103.282
0.65	114.491	97.8476	85.2995	105.96	69.2911	124.275	61.887	83.7231	101.473	103.114
0.66	114.539	85.3116	88.1488	108.443	70.9343	124.815	60.41	86.538	98.2017	99.954
0.67	114.558	85.6355	88.5855	109.267	69.7142	124.084	61.0555	87.3381	97.4675	98.7673
0.68	114.304	85.8405	89.0629	103.759	67.5747	122.489	61.9191	85.3187	95.7266	99.077
0.69	114.671	83.8394	89.4999	102.511	64.9971	123.01	63.4561	84.6676	97.1296	100.522
0.7	114.82	86.5311	90.0237	98.3028	65.3185	121.336	62.2747	83.6568	97.9812	102.203
0.71	114.855	85.905	90.0805	97.0283	69.8152	120.893	64.0639	82.3154	97.2269	100.523
0.72	114.887	80.647	89.9254	93.9162	70.4131	122.009	64.858	81.5455	99.8539	98.8877
0.73	114.961	86.7133	89.8949	94.3724	70.8969	122.282	63.8283	81.0611	99.516	98.878
0.74	115.015	93.7012	89.1488	100.556	73.6058	121.287	66.9312	78.4809	98.5997	100.779
0.75	115.036	99.0036	89.6429	108.016	77.0747	122.543	71.4117	81.2472	99.9534	101.162
0.76	115.209	101.711	89.5692	109.146	78.6259	121.297	73.8911	79.5887	99.5548	102.349
0.77	115.061	102.067	90.0648	110.48	76.9517	121.687	70.4691	78.9222	100.236	100.09
0.78	114.767	97.2607	90.0717	111.801	78.8608	121.81	67.4666	77.9529	99.5196	100.149
0.79	114.748	96.7532	90.1961	111.517	78.329	122.203	68.8178	77.3337	101.683	100.965
0.8	114.457	96.4364	90.2482	113.086	79.2025	122.429	67.6315	77.1135	99.3817	101.282
0.81	114.43	99.3847	90.2018	113.674	78.111	122.63	64.7216	78.3145	99.2763	102.172
0.82	114.719	98.5608	90.2805	119.876	78.2236	122.923	69.5319	77.4988	99.388	103.057
0.83	114.62	91.9194	90.3497	128.254	75.8143	122.96	70.3831	77.9492	98.6148	104.712
0.84	114.913	91.8312	90.4336	123.773	74.5476	123.215	68.2021	78.8616	98.6015	105.748
0.85	115.032	90.16	90.4931	123.941	78.2025	123.247	68.1281	79.0623	100.363	106.158
0.86	115.153	88.8493	90.4468	130.898	78.8607	123.232	69.3002	78.9332	100.219	107.031
0.87	115.211	81.5866	90.0424	130.368	79.1047	123.409	68.2557	79.0776	100.819	107.595
0.88	115.228	89.0179	90.252	127.298	81.6377	122.914	66.2663	78.9109	100.126	107.903
0.89	115.303	83.7108	90.3061	127.276	83.5298	123.257	69.3657	78.9874	100.703	108.027
